id,lat,lon,user,timestamp
172817255,31.2030452,121.3360092,XD346,2021-03-30T17:00:23Z
172817276,31.1820961,121.337143,Austin Zhu,2017-01-20T08:48:04Z
172817294,31.1992382,121.3362152,XD346,2021-03-30T17:00:23Z
243843063,31.2535108,121.3866699,yangfl,2011-01-17T13:31:48Z
243843065,31.2528908,121.3864364,yangfl,2011-01-17T13:32:17Z
243843069,31.2525502,121.3862723,zzcolin,2018-06-30T20:34:18Z
243843070,31.2499177,121.384763,yangfl,2011-01-17T13:32:11Z
243843071,31.2487225,121.3840615,yangfl,2011-01-17T13:32:27Z
243843105,31.2406271,121.3792933,zzcolin,2012-04-06T12:30:48Z
243843110,31.2399468,121.3789783,yangfl,2015-08-07T12:15:07Z
243843152,31.2364914,121.3774546,yangfl,2011-02-01T12:04:55Z
243843155,31.2354171,121.3765995,yangfl,2011-02-01T12:04:50Z
243843156,31.2329037,121.3745187,yangfl,2011-02-01T12:04:49Z
243843157,31.2181272,121.3711255,DAJIBA,2011-11-02T06:31:42Z
243843158,31.2136262,121.371946,zzcolin,2013-10-06T10:22:54Z
243843159,31.2176428,121.3760962,shatin,2009-11-12T14:26:34Z
243843160,31.2173549,121.3792827,Funbo,2008-11-25T14:31:06Z
266416035,31.2523279,121.301813,yangfl,2011-04-16T07:58:14Z
266416036,31.2522696,121.3059755,zzcolin,2020-01-27T18:30:58Z
266416037,31.2523109,121.3081021,zzcolin,2020-01-27T18:30:58Z
266416038,31.2524226,121.3110475,yangfl,2011-04-16T07:58:35Z
266416039,31.2527844,121.3187781,yangfl,2011-02-27T00:30:48Z
266416040,31.2527996,121.3190912,yangfl,2011-02-27T00:30:37Z
266416041,31.2530857,121.3260872,yangfl,2011-07-15T02:09:19Z
266416042,31.2530742,121.3267053,yangfl,2011-07-15T02:09:20Z
266416048,31.2532122,121.329293,yangfl,2011-07-15T02:09:20Z
266416050,31.2538575,121.3418256,yangfl,2011-02-27T00:30:38Z
266416051,31.2538388,121.3448607,yangfl,2011-07-20T15:30:14Z
266416052,31.2536247,121.3486272,zzcolin,2019-02-14T18:25:25Z
266416056,31.2519725,121.3677261,yangfl,2011-01-17T13:32:18Z